home_wins_5,home_draws_5,home_losses_5,home_gf_5,home_ga_5,away_wins_5,away_draws_5,away_losses_5,away_gf_5,away_ga_5,home_home_wins,home_home_draws,home_home_losses,away_away_wins,away_away_draws,away_away_losses,h2h_home_ratio,h2h_draw_ratio,elo_diff,elo_home_expected,home_pts_per_game,away_pts_per_game,result
2,1,2,7,4,1,3,1,5,4,2,0,1,1,1,1,0.45,0.27,-37.46,0.589,1.0,1.5,1
1,1,3,5,7,4,1,0,13,6,0,1,2,2,1,0,0.45,0.27,-171.19,0.399,0.5714,2.4286,2
1,1,3,5,10,2,1,2,5,2,0,0,3,1,1,1,0.45,0.27,-84.39,0.5224,0.5714,1.1429,2
1,1,3,6,7,0,2,3,3,11,0,0,3,0,1,2,0.45,0.27,24.54,0.6719,0.5714,0.4286,0
1,2,2,4,9,0,1,4,4,16,1,0,2,0,0,3,0.45,0.27,60.38,0.7157,1.1429,0.1429,0
2,0,3,6,9,0,3,2,5,8,1,0,2,1,1,1,0.45,0.27,-15.71,0.619,1.2857,1.0,0
2,2,1,6,6,1,2,2,5,7,1,1,1,1,0,2,0.45,0.27,28.83,0.6773,1.5714,1.1429,1
4,0,1,15,3,2,3,0,5,1,2,0,1,0,3,0,0.45,0.27,89.84,0.7489,2.5714,1.4286,1
3,1,1,8,5,2,2,1,5,3,2,1,0,1,0,2,0.45,0.27,66.81,0.7232,2.0,1.2857,0
1,2,2,8,7,4,0,1,9,7,1,1,1,2,0,1,0.45,0.27,-104.41,0.4937,1.1429,2.5714,2
4,1,0,17,4,0,1,4,4,10,3,0,0,0,1,2,0.45,0.27,189.18,0.8409,2.6667,0.1667,0
3,2,0,16,6,2,1,2,5,9,2,1,0,1,1,1,0.45,0.27,82.77,0.7412,2.3333,1.6667,0
0,4,1,3,5,2,1,2,10,11,1,2,0,0,1,2,0.45,0.27,5.68,0.6476,1.1667,1.1667,0
